smiles,logp,mw,tpsa,hbd,hba,rotbonds,qed,sas
C=C1C(=O)OC2C1CCC1(CC1)[C@@H]1CCC3(CC3)[C@H]21,3.4646000000000026,258.3609999999999,26.3,0,2,0,0.49107412391033156,5.131468480736592
C=C1C(=O)OC2C1CC[C@@](C)(OC)[C@@H]1CC[C@@](C)(O)[C@H]21,2.0603,280.3639999999999,55.760000000000005,1,4,1,0.5898606521277235,4.569684876436819
C=C1C(=O)OC2C1CCC(=C)[C@@H]1CC[C@@](C)(O)[C@H]21,2.2114000000000003,248.32199999999995,46.53,1,3,0,0.40598593548882295,4.507948240494856
C=C1C(=O)OC2C1CC[C@@](C)(O)[C@@H]1CC[C@@](C)(O)[C@H]21,1.4062,266.33699999999993,66.76,2,4,0,0.5136585109604442,4.499462519290864
C=C1C(=O)OC2C1CC/C(C)=C/CC[C@@]1(C)C[C@@H]21,3.6307000000000027,246.34999999999994,26.3,0,2,0,0.3704607493623409,4.786392041376531
C=C1C(=O)O[C@H]2[C@H]1CC[C@@]1(C)C[C@@H]1CC[C@@]1(C)O[C@@H]21,2.8419000000000008,262.34899999999993,38.83,0,3,0,0.38263785593441535,5.037373393505707
C=C1C(=O)O[C@H]2[C@H]1CC/C(CO)=C\CC[C@@]1(C)O[C@@H]21,1.7344,264.3209999999999,59.06,1,4,1,0.3390257138656314,4.824498290404053
C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C\CC[C@@]1(C)O[C@@H]21,2.7620000000000013,248.32199999999995,38.83,0,3,0,0.2862371144515137,4.722888041376531
C=C1C(=O)O[C@H]2[C@H]1CC[C@H](C)CCC[C@@]1(C)O[C@@H]21,2.8419000000000008,250.33799999999994,38.83,0,3,0,0.3768148336494513,4.600115920519396
C=C1C(=O)O[C@H]2[C@H]1CC[C@@H](C)CCC[C@@]1(C)O[C@@H]21,2.8419000000000008,250.33799999999994,38.83,0,3,0,0.3768148336494513,4.600115920519396
C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)C3=C[C@H]12,3.2406000000000024,232.32299999999995,26.3,0,2,0,0.36392013401507706,4.518825376714979
